Gender,Age,Verification,Sexual_orientation,Sexual_polarity,Looking_for,Last_login,Member_since,Number_of_Comments_in_public_forum,Number_of_offline_meetings_attended,Profile_pictures,Risk,Days,Total_chat_time,Friends
female,28.6,Non_Verified,Heterosexual,Switch,Nobody,before_1696_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,56.6,Non_Verified,Heterosexual,Dominant,Nobody,before_1696_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,47.4,Non_Verified,Heterosexual,Dominant,Nobody,before_1696_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,36.6,Non_Verified,bisexual,Dominant,Nobody,before_1679_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,37.3,Non_Verified,Heterosexual,Switch,Nobody,before_1691_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 01:25:00.000000000,
male,27.3,Non_Verified,bisexual,Submisive,Nobody,before_37_days,2012-06-09,14,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,25.8,Non_Verified,Heterosexual,Submisive,Nobody,before_5_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,59.2,Non_Verified,Heterosexual,Dominant,Nobody,before_3_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,37.6,Non_Verified,Heterosexual,Switch,Nobody,before_1696_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,32.2,Non_Verified,Heterosexual,Dominant,Nobody,before_2008_days,2010-05-21,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,28.0,Non_Verified,bisexual,Switch,Nobody,before_1656_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,48.2,Non_Verified,Heterosexual,Dominant,Nobody,before_1696_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,25.9,Non_Verified,Heterosexual,Submisive,Nobody,before_1422_days,2012-06-09,3,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,45.7,Non_Verified,Heterosexual,Dominant,Nobody,before_352_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:06:00.000000000,
male,33.1,Non_Verified,Heterosexual,Submisive,Nobody,before_1696_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,57.0,Non_Verified,Heterosexual,Dominant,Nobody,before_1696_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,48.4,Non_Verified,bisexual,Submisive,Men_and_Women,before_1321_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,31.1,Non_Verified,Heterosexual,Dominant,Nobody,before_1696_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,34.3,Non_Verified,bicurious,Switch,Nobody,before_1696_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,43.4,Non_Verified,bisexual,Switch,Nobody_but_maybe,before_22_days,2012-06-09,10,0.0,0.0,unknown_risk,02,0 days 20:13:00.000000000,
male,37.1,Non_Verified,Heterosexual,Dominant,Nobody,before_531_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,39.0,Non_Verified,Heterosexual,Dominant,Women,before_308_days,2012-06-09,4,0.0,0.0,unknown_risk,00,0 days 16:01:00.000000000,
male,35.5,Non_Verified,Heterosexual,Dominant,Women,before_3_days,2012-06-09,0,0.0,0.0,unknown_risk,02,0 days 12:12:00.000000000,1.0
female,41.5,Non_Verified,Heterosexual,Switch,Nobody,before_1690_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,38.8,Non_Verified,bisexual,Dominant,Men_and_Women,before_902_days,2012-06-09,0,0.0,4.0,unknown_risk,00,0 days 00:37:00.000000000,1.0
male,40.9,Non_Verified,Heterosexual,Submisive,,before_306_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
